1,AI Strategy for Startups,Business,7200,2025-06-16 14:02:39,Seeded
2,Top 5 AI Monetization Models,Finance,9500,2025-06-16 14:02:39,Seeded
3,How to Launch an AI Product with $0,Entrepreneurship,8700,2025-06-16 14:02:39,Seeded
4,Vision-Driven AI Company Pitch Deck,Pitching,6800,2025-06-16 14:02:39,Seeded
5,10 AI Business Models That Work in 2025,Trends,10200,2025-06-16 14:02:39,Seeded
6,Mastering B2B AI SaaS with GPT,SaaS,9100,2025-06-16 14:02:39,Seeded
7,Bootstrapping AI Tools to $100K MRR,Startups,9800,2025-06-16 14:02:39,Seeded
8,Creating a Viral AI Product Roadmap,Marketing,8200,2025-06-16 14:02:39,Seeded
9,Strategic AI Planning for Visionary Founders,Leadership,8600,2025-06-16 14:02:39,Seeded
10,The Future of Work: AI-Enabled Consulting,Consulting,7700,2025-06-16 14:02:39,Seeded
